Dates,TSX,CAC,DAX,NIK,FTSE,SP
27-Apr-93,3691.2,1927.4,1640.8,20207,2832.7,438.01
28-Apr-93,3710.2,1942.5,1628.9,20455,2797.3,438.02
29-Apr-93,3755,1920.6,1623.9,20687,2786.8,438.89
30-Apr-93,3789.4,1939,1627.2,20919,2813.1,440.19
3-May-93,3773.4,1937,1629.2,20844.75,2812.85,442.46
4-May-93,3779.1,1923.6,1627.4,20770.5,2812.6,444.05
5-May-93,3788.8,1926.3,1623.2,20696.25,2796.5,444.52
6-May-93,3794.7,1920.5,1623.3,20622,2786.3,443.26
7-May-93,3779,1878.6,1611.9,20811,2793.7,442.31
10-May-93,3778.5,1877.2,1609,21055,2829.7,442.8
11-May-93,3780.3,1854.5,1616.2,20940,2836.1,444.36
12-May-93,3796.5,1872.7,1629.5,20615,2860.8,444.8
13-May-93,3801.3,1879.9,1639.8,20533,2849.3,439.23
14-May-93,3813.3,1851.7,1634.5,20474,2847,439.56
17-May-93,3792.4,1835.7,1627.9,20566,2858.1,440.37
18-May-93,3826.8,1846.4,1628.5,20229,2847.3,440.32
19-May-93,3811.2,1836.8,1617.4,20381,2819.7,447.57
20-May-93,3831.5,1845,1614,20330,2816.8,450.59
21-May-93,3835.9,1853.2,1610.6,20557,2812.2,445.84
24-May-93,3847.9,1861.4,1603.1,20476,2825.6,448
25-May-93,3859.9,1891.1,1618.2,20632,2837.7,448.85
26-May-93,3865.1,1890.4,1622,20896,2846.9,453.44
27-May-93,3869.7,1904.6,1634.5,20853,2855.3,452.41
28-May-93,3866.4,1888.7,1631.9,20844,2840.7,450.19
31-May-93,3882.6,1880.75,1625.9,20552,2844.95,452.01
1-Jun-93,3856.8,1872.8,1619.9,20591,2849.2,453.83
2-Jun-93,3859.8,1875.8,1625.2,20692,2863,453.85
3-Jun-93,3875,1867.9,1629.6,21076,2852.8,452.49
4-Jun-93,3894.6,1859.7,1637.9,20882,2829.9,450.06
7-Jun-93,3892.1,1887.9,1655.6,20844,2844.8,447.69
8-Jun-93,3862.7,1893.7,1661.6,20575,2844.4,444.71
