year,ahe,bachelor,female,age
2012,19.23077011,0,0,30
2012,17.54807663,0,0,29
2012,8.547008514,0,0,27
2012,16.82692337,0,1,25
2012,16.34615326,1,1,27
2012,16.10577011,1,0,30
2012,15.81196594,0,0,31
2012,3.525640965,1,0,29
2012,14.42307663,0,0,29
2012,11.22884655,0,0,33
2012,28.06122398,0,0,27
2012,22.95918274,0,1,28
2012,13.46153831,0,0,30
2012,18.22916603,0,0,31
2012,20,0,0,34
2012,35,0,0,32
2012,15.38461494,0,0,26
2012,9.134614944,0,1,32
2012,17.30769157,1,1,32
2012,14.42307663,1,1,32
2012,19.23077011,0,0,33
2012,6.730769157,0,0,26
2012,11.53846169,0,0,33
2012,10.57788467,0,1,34
2012,11.53846169,0,0,25
2012,7.5,1,1,25
2012,10.98901081,1,1,32
2012,14.90384579,1,1,29
2012,21.73077011,1,0,32
2012,15.625,0,0,33
2012,19.71153831,0,0,31
2012,19.23077011,1,1,33
2012,13.46153831,0,0,31
2012,14.42307663,1,1,28
2012,16.82692337,0,0,26
2012,6.730769157,0,1,32
2012,11.53846169,0,1,31
2012,16.34615326,0,0,32
2012,17.30769157,1,1,27
2012,21.63461494,1,1,32
2012,14.14326954,1,1,30
2012,16.82692337,0,0,25
2012,11.53846169,0,0,30
2012,7.5,0,1,25
2012,8.547008514,0,1,27
2012,8.461538315,0,0,28
2012,6.009615421,0,0,26
2012,15.38461494,1,0,32
2012,13.75,1,1,31
2012,16.82692337,0,0,29
2012,16.34615326,1,0,31
2012,41.13247681,1,1,30
2012,38.46154022,1,1,31
2012,21.63461494,1,0,28
2012,10.81730747,1,0,28
2012,5.78231287,1,1,31
2012,13.94230747,0,0,26
2012,6.593406677,0,0,30
2012,19.95192337,1,0,32
2012,23.17290497,1,0,25
2012,17.30769157,1,1,30
2012,15.38461494,1,1,27
2012,28.84615326,1,0,34
2012,17.30769157,1,0,28
2012,19.23077011,0,0,28
2012,36.05769348,1,0,26
2012,21.15384674,1,1,30
2012,15.49145317,1,1,34
2012,16.82692337,0,1,25
2012,10.98901081,0,1,27
2012,17.30769157,1,1,29
2012,17.83216858,1,0,34
2012,15.38461494,1,1,32
2012,17.30865479,0,0,28
2012,25.24038506,1,1,32
2012,25.48077011,1,0,30
2012,15.86538506,1,0,30
2012,16.23931694,1,1,30
2012,21.36752129,1,1,33
2012,10.09615421,0,1,30
2012,19.23077011,1,1,26
2012,16.82692337,0,0,26
2012,11.39423084,0,0,32
2012,16.82692337,0,0,27
2012,14.42307663,0,0,33
2012,20.67307663,0,0,33
2012,23.36309433,0,0,34
2012,46.15384674,1,0,33
2012,13.67521381,1,0,30
2012,27.47252655,0,0,33
2012,34.61538315,1,0,30
2012,15.38461494,0,0,30
2012,23.07692337,1,1,26
2012,14.42307663,1,0,31
2012,31.25,1,1,34
2012,9.109312057,0,1,28
2012,16.23931694,0,0,29
2012,23.23999977,1,0,30
2012,43.26922989,1,0,31
2012,38.46154022,1,1,31
2012,11.53846169,0,0,32
2012,11.53846169,0,1,27
2012,7.986111164,0,0,25
2012,9.615385056,0,1,34
2012,14.42307663,1,0,26
2012,26.92307663,0,0,33
2012,22.11538506,0,0,25
2012,9.01442337,0,0,32
2012,28.84615326,0,0,30
2012,24.03846169,1,0,31
2012,20.19230843,1,1,31
2012,17.78846169,1,1,26
2012,23.07692337,0,0,32
2012,32.05128098,1,1,26
2012,11.75,0,1,29
2012,10.09615421,0,0,32
2012,17.88461494,1,1,31
2012,12.63736248,1,1,34
2012,18.3150177,1,1,30
2012,19.23077011,1,0,27
2012,15.38461494,1,1,31
2012,26.22377586,0,1,31
2012,28.01120377,0,0,34
2012,13.46153831,1,0,27
2012,19.23077011,0,0,27
2012,22.11538506,0,0,28
2012,22.98850632,1,0,34
2012,34.61538315,1,0,33
2012,22.59615326,0,0,32
2012,13.33333302,0,0,31
2012,14.42403889,0,0,26
2012,32.05128098,1,0,34
2012,13.46153831,1,1,28
2012,27.47252655,1,0,31
2012,9.134614944,0,1,33
2012,33.65384674,1,0,27
2012,9.615385056,1,1,26
2012,21.15384674,1,0,29
2012,24.03846169,1,1,31
2012,26.44230843,1,1,31
2012,16.92307663,1,1,26
2012,51.92307663,1,0,34
2012,28.36538506,1,1,34
2012,21.63461494,0,0,32
2012,19.23077011,0,0,34
2012,14.9572649,0,1,31
2012,12.01923084,0,0,30
2012,44.37869644,1,0,32
2012,25,1,0,28
2012,14.42307663,0,0,27
2012,16.82692337,1,1,26
2012,18.26922989,1,0,30
2012,22.59615326,1,0,26
2012,26.04166603,0,0,34
2012,16.34615326,1,0,34
2012,25.65897369,1,0,34
2012,12.01923084,1,1,34
2012,11.05769253,0,0,33
2012,18.99038506,0,0,30
2012,14.67611313,1,1,27
2012,16.82692337,1,1,28
2012,33.65384674,1,0,28
2012,28.84615326,1,1,30
2012,15.38461494,0,0,29
2012,9.616346359,0,0,29
2012,34.61615372,1,0,30
2012,20,0,0,32
2012,12.65384579,0,0,31
2012,15.38461494,1,0,27
2012,17.09401703,0,0,32
2012,12.01923084,0,1,29
2012,21.63461494,1,1,30
2012,33.65384674,1,0,27
2012,15.60000038,0,1,25
2012,15.38461494,1,0,32
2012,16.34615326,0,0,30
2012,16.66666603,1,1,25
2012,35.7843132,1,0,31
2012,13.49065971,1,1,30
2012,20.2429142,0,1,31
2012,38.03418732,1,0,32
2012,44.92307663,1,0,30
2012,14.42307663,0,0,26
2012,16.15384674,1,1,30
2012,26.15384674,1,0,33
2012,17.30769157,1,1,25
2012,17.78846169,1,0,32
2012,64.90384674,1,0,28
2012,19.23077011,0,0,34
2012,16.82692337,0,0,30
2012,19.71153831,1,1,34
2012,19.23077011,0,0,33
2012,10.57692337,0,1,32
2012,26.44230843,1,1,29
2012,35.04273605,0,0,33
2012,6.04395628,0,1,27
2012,2.884615421,0,0,29
2012,17.78846169,0,0,30
2012,30.76922989,1,1,32
2012,14.42307663,1,0,27
2012,16.02564049,0,0,28
2012,14.42307663,1,0,34
2012,14.42307663,1,0,27
2012,14.68531513,1,1,32
2012,8.09375,0,1,33
2012,9.134614944,1,1,30
2012,14.42307663,0,0,31
2012,16.82692337,0,1,34
2012,26.22377586,1,0,32
2012,19.23077011,0,1,29
2012,12.01923084,0,1,25
2012,18.26922989,0,0,27
2012,14.42307663,0,1,25
2012,22.43589783,1,1,26
2012,48.07692337,1,0,28
